Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.501,0.507,0.502,0.507,0.504,0.503,0.511,0.507,0.511,0.514,0.519,0.519
1981,0.531,0.533,0.538,0.519,0.525,0.523,0.521,0.519,0.524,0.521,0.527,0.521
1982,0.537,0.534,0.526,0.526,0.529,0.525,0.534,0.534,0.536,0.534,0.534,0.537
1983,0.541,0.544,0.544,0.538,0.542,0.542,0.544,0.539,0.536,0.535,0.547,0.547
1984,0.543,0.541,0.542,0.536,0.541,0.542,0.541,0.543,0.539,0.540,0.543,0.544
1985,0.551,0.544,0.544,0.544,0.542,0.546,0.556,0.553,0.561,0.566,0.564,0.568
1986,0.566,0.563,0.560,0.561,0.562,0.569,0.564,0.570,0.566,0.565,0.564,0.566
1987,0.544,0.539,0.541,0.542,0.540,0.533,0.544,0.546,0.551,0.559,0.559,0.571
1988,0.586,0.586,0.587,0.595,0.598,0.601,0.602,0.619,0.636,0.642,0.645,0.657
1989,0.653,0.652,0.654,0.655,0.655,0.664,0.671,0.674,0.671,0.674,0.676,0.688
1990,0.689,0.701,0.680,0.686,0.678,0.687,0.685,0.713,0.700,0.706,0.710,0.700
1991,0.705,0.701,0.702,0.701,0.705,0.705,0.700,0.714,0.717,0.720,0.731,0.717
1992,0.726,0.730,0.747,0.746,0.752,0.757,0.771,0.776,0.756,0.752,0.747,0.738
1993,0.748,0.751,0.742,0.744,0.752,0.752,0.762,0.745,0.748,0.750,0.771,0.760
1994,0.768,0.756,0.755,0.765,0.765,0.761,0.759,0.753,0.776,0.756,0.766,0.748
1995,0.767,0.767,0.775,0.776,0.768,0.781,0.789,0.797,0.808,0.809,0.821,0.837
1996,0.860,0.858,0.852,0.865,0.869,0.886,0.889,0.915,0.886,0.873,0.880,0.875
1997,0.862,0.858,0.855,0.855,0.854,0.874,0.872,0.872,0.885,0.899,0.897,0.884
1998,0.855,0.860,0.853,0.863,0.866,0.859,0.867,0.869,0.860,0.849,0.855,0.866
1999,0.872,0.880,0.883,0.897,0.886,0.885,0.893,0.884,0.878,0.889,0.899,0.899
2000,0.907,0.924,0.924,0.927,0.915,0.915,0.935,0.923,0.918,0.934,0.953,0.987
2001,0.982,0.994,1.020,1.008,0.995,0.989,0.987,0.991,0.996,1.010,1.012,1.005
2002,1.001,1.008,1.012,1.005,1.012,1.011,1.015,1.012,1.016,1.015,1.054,1.026
2003,1.042,1.048,1.042,1.047,1.001,0.961,1.002,0.996,0.994,0.969,0.953,0.954
2004,0.946,0.943,0.947,0.974,0.960,0.979,0.985,0.996,0.985,0.972,0.976,0.970
2005,0.997,0.982,1.002,1.004,1.086,1.090,1.067,1.060,1.052,1.043,1.055,1.046
2006,1.046,1.029,1.040,1.072,1.086,1.074,1.071,1.088,1.083,1.097,1.143,1.137
2007,1.153,1.168,1.161,1.201,1.192,1.193,1.209,1.210,1.212,1.274,1.235,1.280
2008,1.281,1.321,1.350,1.373,1.370,1.373,1.384,1.381,1.379,1.393,1.377,1.415
2009,1.381,1.404,1.410,1.395,1.413,1.385,1.391,1.375,1.340,1.392,1.373,1.390
2010,1.360,1.361,1.368,1.363,1.359,1.383,1.360,1.372,1.386,1.407,1.375,1.386
2011,1.401,1.398,1.415,1.420,1.472,1.490,1.513,1.474,1.477,1.457,1.399,1.420
2012,1.423,1.442,1.395,1.426,1.412,1.403,1.427,1.407,1.401,1.422,1.418,1.436
2013,1.422,1.411,1.412,1.409,1.401,1.439,1.434,1.408,1.419,1.358,1.382,1.385
2014,1.365,1.388,1.359,1.388,1.401,1.400,1.413,1.396,1.405,1.414,1.420,1.466
2015,1.479,1.435,1.440,1.454,1.463,1.467,1.447,1.420,1.432,1.418,1.409,1.428
2016,1.425,1.407,1.416,1.406,1.382,1.333,1.349,1.341,1.329,1.343,1.362,1.362
2017,1.351,1.358,1.329,1.328,1.327,1.335,1.327,1.348,1.349,1.328,1.295,1.316
2018,1.281,1.265,1.309,1.281,1.293,1.279,1.293,1.302,1.288,1.277,1.274,1.290
2019,1.274,1.282,1.261,1.285,1.289,1.280,1.281,1.275,1.296,1.325,1.361,1.363
2020,1.351,1.375,1.374,1.406,1.412,1.474,1.485,1.495,1.492,1.503,1.515,1.538
2021,1.546,1.537,1.526,1.510,1.511,1.510,1.491,1.467,1.580,1.526,1.547,1.532
2022,1.555,1.578,1.607,1.612,1.606,1.691,1.715,1.756,1.749,1.814,1.847,1.873
2023,1.888,1.896,1.936,1.989,1.951,1.937,1.980,1.970,1.972,2.002,1.976,2.024
2024,2.033,2.006,1.997, , , , , , , , , 
